movie_title,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
Avatar,James Cameron,0,CCH Pounder,1000,Joel David Moore,936,Wes Studi,855,4834
Pirates of the Caribbean: At World's End,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,48350
Spectre,Sam Mendes,0,Christoph Waltz,11000,Rory Kinnear,393,Stephanie Sigman,161,11700
The Dark Knight Rises,Christopher Nolan,22000,Tom Hardy,27000,Christian Bale,23000,Joseph Gordon-Levitt,23000,106759
John Carter,Andrew Stanton,475,Daryl Sabara,640,Samantha Morton,632,Polly Walker,530,1873
Spider-Man 3,Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,46055
Tangled,Nathan Greno,15,Brad Garrett,799,Donna Murphy,553,M.C. Gainey,284,2036
Avengers: Age of Ultron,Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,92000
Harry Potter and the Half-Blood Prince,David Yates,282,Alan Rickman,25000,Daniel Radcliffe,11000,Rupert Grint,10000,58753
Batman v Superman: Dawn of Justice,Zack Snyder,0,Henry Cavill,15000,Lauren Cohan,4000,Alan D. Purwin,2000,24450
Superman Returns,Bryan Singer,0,Kevin Spacey,18000,Marlon Brando,10000,Frank Langella,903,29991
Quantum of Solace,Marc Forster,395,Giancarlo Giannini,451,Mathieu Amalric,412,Rory Kinnear,393,2023
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,48486
The Lone Ranger,Gore Verbinski,563,Johnny Depp,40000,Ruth Wilson,2000,Tom Wilkinson,1000,45757
Man of Steel,Zack Snyder,0,Henry Cavill,15000,Christopher Meloni,3000,Harry Lennix,748,20495
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,80,Peter Dinklage,22000,Pierfrancesco Favino,216,Damián Alcázar,201,22697
The Avengers,Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,87697
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,252,Johnny Depp,40000,Sam Claflin,11000,Stephen Graham,1000,54083
Men in Black 3,Barry Sonnenfeld,188,Will Smith,10000,Michael Stuhlbarg,816,Nicole Scherzinger,718,12572
The Hobbit: The Battle of the Five Armies,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,9152
The Amazing Spider-Man,Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,Chris Zylka,963,28489
Robin Hood,Ridley Scott,0,Mark Addy,891,William Hurt,882,Scott Grimes,738,3244
The Hobbit: The Desolation of Smaug,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,9152
The Golden Compass,Chris Weitz,129,Christopher Lee,16000,Eva Green,6000,Kristin Scott Thomas,1000,24106
