movie_title,num_critic_for_reviews,duration,gross,genres,movie_imdb_link,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Avatar ,723,178,760505847,Action|Adventure|Fantasy|Sci-Fi,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,886204,0,avatar|future|marine|native|paraplegic,3054,English,USA,PG-13,237000000,2009,7.9,1.78,33000
Pirates of the Caribbean: At World's End ,302,169,309404152,Action|Adventure|Fantasy,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,471220,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,English,USA,PG-13,300000000,2007,7.1,2.35,0
Spectre ,602,148,200074175,Action|Adventure|Thriller,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,275868,1,bomb|espionage|sequel|spy|terrorist,994,English,UK,PG-13,245000000,2015,6.8,2.35,85000
The Dark Knight Rises ,813,164,448130642,Action|Thriller,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,1144337,0,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,English,USA,PG-13,250000000,2012,8.5,2.35,164000
John Carter ,462,132,73058679,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,212204,1,alien|american civil war|male nipple|mars|princess,738,English,USA,PG-13,263700000,2012,6.6,2.35,24000
Spider-Man 3,392,156,336530303,Action|Adventure|Romance,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,383056,0,sandman|spider man|symbiote|venom|villain,1902,English,USA,PG-13,258000000,2007,6.2,2.35,0
Tangled ,324,100,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,294810,1,17th century|based on fairy tale|disney|flower|tower,387,English,USA,PG,260000000,2010,7.8,1.85,29000
Avengers: Age of Ultron ,635,141,458991599,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,462669,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,English,USA,PG-13,250000000,2015,7.5,2.35,118000
Harry Potter and the Half-Blood Prince ,375,153,301956980,Adventure|Family|Fantasy|Mystery,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,321795,3,blood|book|love|potion|professor,973,English,UK,PG,250000000,2009,7.5,2.35,10000
Batman v Superman: Dawn of Justice ,673,183,330249062,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,371639,0,based on comic book|batman|sequel to a reboot|superhero|superman,3018,English,USA,PG-13,250000000,2016,6.9,2.35,197000
Superman Returns ,434,169,200069408,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,240396,0,crystal|epic|lex luthor|lois lane|return to earth,2367,English,USA,PG-13,209000000,2006,6.1,2.35,0
Quantum of Solace ,403,106,168368427,Action|Adventure,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,330784,1,action hero|attempted rape|bond girl|official james bond series|revenge,1243,English,UK,PG-13,200000000,2008,6.7,2.35,0
Pirates of the Caribbean: Dead Man's Chest ,313,151,423032628,Action|Adventure|Fantasy,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,522040,2,box office hit|giant squid|heart|liar's dice|monster,1832,English,USA,PG-13,225000000,2006,7.3,2.35,5000
The Lone Ranger ,450,150,89289910,Action|Adventure|Western,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,181792,1,horse|outlaw|texas|texas ranger|train,711,English,USA,PG-13,215000000,2013,6.5,2.35,48000
Man of Steel ,733,143,291021565,Action|Adventure|Fantasy|Sci-Fi,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,548573,0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536,English,USA,PG-13,225000000,2013,7.2,2.35,118000
The Chronicles of Narnia: Prince Caspian ,258,150,141614023,Action|Adventure|Family|Fantasy,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,149922,4,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438,English,USA,PG,225000000,2008,6.6,2.35,0
The Avengers ,703,173,623279547,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,995415,3,alien invasion|assassin|battle|iron man|soldier,1722,English,USA,PG-13,220000000,2012,8.1,1.85,123000
Pirates of the Caribbean: On Stranger Tides ,448,136,241063875,Action|Adventure|Fantasy,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,370704,4,blackbeard|captain|pirate|revenge|soldier,484,English,USA,PG-13,250000000,2011,6.7,2.35,58000
Men in Black 3,451,106,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,268154,1,alien|criminal|m.i.b.|maximum security prison|prison,341,English,USA,PG-13,225000000,2012,6.8,1.85,40000
The Hobbit: The Battle of the Five Armies ,422,164,255108370,Adventure|Fantasy,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,354228,0,army|elf|hobbit|middle earth|orc,802,English,New Zealand,PG-13,250000000,2014,7.5,2.35,65000
The Amazing Spider-Man ,599,153,262030663,Action|Adventure|Fantasy,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,451803,0,lizard|outcast|spider|spider man|teenager,1225,English,USA,PG-13,230000000,2012,7,2.35,56000
Robin Hood ,343,156,105219735,Action|Adventure|Drama|History,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,211765,0,1190s|archer|england|king of england|robin hood,546,English,USA,PG-13,200000000,2010,6.7,2.35,17000
The Hobbit: The Desolation of Smaug ,509,186,258355354,Adventure|Fantasy,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,483540,6,dwarf|elf|lake town|mountain|sword and sorcery,951,English,USA,PG-13,225000000,2013,7.9,2.35,83000
The Golden Compass ,251,113,70083519,Adventure|Family|Fantasy,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,149019,2,children|epic|friend|girl|quest,666,English,USA,PG-13,180000000,2007,6.1,2.35,0
King Kong ,446,201,218051260,Action|Adventure|Drama|Romance,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,316018,0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,English,New Zealand,PG-13,207000000,2005,7.2,2.35,0
